Station,Route,Line,Borough
Fourth Avenue*[^ 4],Culver Line,F:G,Brooklyn
Seventh Avenue,Brighton Line,B:Q,Brooklyn
Seventh Avenue,Culver Line,F�,Brooklyn
Eighth Avenue,Sea Beach Line,N:W,Brooklyn
Ninth Avenue,West End Line,D,Brooklyn
Ninth Street*[^ 4],Fourth Avenue Line,D:N:R:W,Brooklyn
15th Street–Prospect Park,Culver Line,F:G,Brooklyn
18th Avenue,Culver Line,F,Brooklyn
18th Avenue,Sea Beach Line,N:W,Brooklyn
18th Avenue,West End Line,D,Brooklyn
20th Avenue,Sea Beach Line,N:W,Brooklyn
20th Avenue,West End Line,D,Brooklyn
25th Avenue,West End Line,D,Brooklyn
25th Street,Fourth Avenue Line,D:N:R:W,Brooklyn
36th Street**,Fourth Avenue Line,D:N:R:W,Brooklyn
45th Street,Fourth Avenue Line,N:R:W,Brooklyn
50th Street,West End Line,D,Brooklyn
53rd Street,Fourth Avenue Line,N:R:W,Brooklyn
55th Street,West End Line,D,Brooklyn
59th Street**,Fourth Avenue Line,N:R:W,Brooklyn
62nd Street*[^ 5],West End Line,D,Brooklyn
71st Street,West End Line,D,Brooklyn
77th Street,Fourth Avenue Line,R,Brooklyn
79th Street,West End Line,D,Brooklyn
86th Street,Fourth Avenue Line,R,Brooklyn
86th Street,Sea Beach Line,N:W,Brooklyn
Alabama Avenue,Jamaica Line,J:�Z,Brooklyn
Atlantic Avenue,Canarsie Line,L,Brooklyn
Atlantic Avenue–Barclays Center*[^ 6],Brighton Line,B:Q,Brooklyn
Atlantic Avenue–Barclays Center**[^ 6][^ 7],Eastern Parkway Line,X2:X3:X4:X5,Brooklyn
Atlantic Avenue–Barclays Center**‡[^ 6],Fourth Avenue Line,D:N:R:W,Brooklyn
Avenue H,Brighton Line,Q,Brooklyn
Avenue I,Culver Line,F,Brooklyn
Avenue J,Brighton Line,Q,Brooklyn
Avenue M,Brighton Line,Q,Brooklyn
Avenue N,Culver Line,F,Brooklyn
Avenue P,Culver Line,F,Brooklyn
Avenue U,Brighton Line,Q,Brooklyn
Avenue U,Culver Line,F,Brooklyn
Avenue U,Sea Beach Line,N:W,Brooklyn
Avenue X,Culver Line,F,Brooklyn
Bay 50th Street,West End Line,D,Brooklyn
Bay Parkway,Culver Line,F,Brooklyn
Bay Parkway,Sea Beach Line,N:W,Brooklyn
Bay Parkway,West End Line,D,Brooklyn
Bay Ridge Avenue,Fourth Avenue Line,R,Brooklyn
Bay Ridge–95th Street†,Fourth Avenue Line,R,Brooklyn
Bedford Avenue‡,Canarsie Line,L,Brooklyn
Bedford–Nostrand Avenues,Crosstown Line,G,Brooklyn
Bergen Street,Culver Line,F:G,Brooklyn
Bergen Street,Eastern Parkway Line,X2:X3:X4,Brooklyn
Beverley Road,Brighton Line,Q,Brooklyn
Beverly Road,Nostrand Avenue Line,X2:X5,Brooklyn
Borough Hall*[^ 8],Broadway–Seventh Avenue Line,X2:X3,Brooklyn
Borough Hall*‡[^ 8],Eastern Parkway Line,X4:X5,Brooklyn
Botanic Garden*[^ 9],Franklin Avenue Line,S,Brooklyn
Brighton Beach**†,Brighton Line,B:Q,Brooklyn
Broadway,Crosstown Line,G,Brooklyn
Broadway Junction*[^ 10],Canarsie Line,L,Brooklyn
Broadway Junction**[^ 10],Fulton Street Line,A:C,Brooklyn
Broadway Junction**[^ 10],Jamaica Line,J:Z,Brooklyn
Bushwick Avenue–Aberdeen Street,Canarsie Line,L,Brooklyn
Canarsie–Rockaway Parkway†,Canarsie Line,L,Brooklyn
Carroll Street,Culver Line,F:G,Brooklyn
Central Avenue,Myrtle Avenue Line,M,Brooklyn
Chauncey Street,Jamaica Line,J:Z,Brooklyn
Church Avenue**,Brighton Line,B:Q,Brooklyn
Church Avenue**†,Culver Line,F:G,Brooklyn
Church Avenue,Nostrand Avenue Line,X2:X5,Brooklyn
Clark Street‡,Broadway–Seventh Avenue Line,X2:X3,Brooklyn
Classon Avenue,Crosstown Line,G,Brooklyn
Cleveland Street,Jamaica Line,J,Brooklyn
Clinton–Washington Avenues,Crosstown Line,G,Brooklyn
Clinton–Washington Avenues,Fulton Street Line,A:C,Brooklyn
Coney Island–Stillwell Avenue***†,"Brighton Line, Culver Line, Sea Beach Line, West End Line",D:F:N:Q,Brooklyn
Cortelyou Road,Brighton Line,Q,Brooklyn
Court Street*‡[^ 8],Fourth Avenue Line,N:R:W,Brooklyn
Crescent Street**,Jamaica Line,J:Z,Brooklyn
Crown Heights–Utica Avenue**†,Eastern Parkway Line,X2:X3:X4:X5,Brooklyn
