stationID,stopName,borough,lines,nodes
392,125 St,Manhattan,X4:X6,4008:6004
438,135 St,Manhattan,X2:X3,2009:3003
166,14 St,Manhattan,A:E,A012:E007
229,14 St,Manhattan,F,F007
406,14 St-Union Sq,Manhattan,X4:X6:L,4006:6002:L004
15,14 St-Union Sq,Manhattan,N:Q,N008:Q007
151,145 St,Manhattan,A:D,A015:D010
219,161 St-Yankee Stadium,Bronx,X4:D,4009:D011
148,168 St,Manhattan,X1:A,1006:A016
227,34 St-Herald Sq,Manhattan,D:F:N:Q,D006:F006:N009:Q008
471,34 St-Hudson Yards,Manhattan,X7,7006
32,36 St,Brooklyn,D:N:R,D002:N003:R003
225,47-50 Sts-Rockefeller Ctr,Manhattan,D:F,D007:F005
162,50 St,Manhattan,A:E,A013:E006
9,57 St-7 Av,Manhattan,N:Q,N010:Q010
35,59 St,Brooklyn,N:R,N002:R002
161,59 St-Columbus Circle,Manhattan,X1:X2:A:D,1004:2007:A014:D009
116,6 Av,Manhattan,L,L005
277,7 Av,Manhattan,D:E,D008:E005
115,8 Av,Manhattan,L,L006
310,96 St,Manhattan,X1:X2:X3,1005:2008:3002
475,96 St,Manhattan,Q,Q012
1,Astoria-Ditmars Blvd,Queens,N,N012
338,Atlantic Av-Barclays Ctr,Brooklyn,X2:X4:Q,2003:4003:Q004
39,Bay Ridge-95 St,Brooklyn,R,R001
236,Bergen St,Brooklyn,F:G,F012:G002
415,Borough Hall,Brooklyn,X2:X4,2004:4004
258,Briarwood,Queens,E:F,E003:F002
199,Broad Channel,Queens,A,A003
107,Broad St,Manhattan,J,J006
184,Broadway Junction,Brooklyn,A:J:L,A006:J003:L002
230,Broadway-Lafayette St,Manhattan,D:F,D004:F009
411,Brooklyn Bridge-City Hall,Manhattan,X4:X6,4005:6001
169,Canal St,Manhattan,A:E,A010:E009
19,Canal St,Manhattan,N:Q,N007:Q006
138,Canarsie-Rockaway Pkwy,Brooklyn,L,L001
327,Chambers St,Manhattan,X1:X2,1002:2005
243,Church Av,Brooklyn,F:G,F013:G001
58,Coney Island-Stillwell Av,Brooklyn,D:F:N:Q,D001:F015:N001:Q001
462,Court Sq,Queens,X7:G,7003:G004
26,DeKalb Av,Brooklyn,D:Q:N:R,D003:Q005:N004:R004
233,Delancey St-Essex St,Manhattan,F:J,F010:J005
426,E 180 St,Bronx,X2:X5,2010:5001
442,Eastchester-Dyre Av,Bronx,X5,5002
209,Far Rockaway-Mott Av,Queens,A,A001
359,Flatbush Av-Brooklyn College,Brooklyn,X2,2001
447,Flushing-Main St,Queens,X7,7001
139,Franklin Av,Brooklyn,A:S,A007:S002
342,Franklin Avenue-Medgar Evers College,Brooklyn,X2:X4,2002:4002
465,Grand Central-42 St,Manhattan,X4:X6:X7,4007:6003:7004
436,Harlem-148 St,Manhattan,X3,3004
175,Hoyt-Schermerhorn Sts,Brooklyn,A:G,A008:G003
143,Inwood-207 St,Manhattan,A,A017
267,Jackson Hts-Roosevelt Av,Queens,E:F,E004:F003
278,Jamaica Center-Parsons-Archer,Queens,E:J,E001:J001
254,Jamaica-179 St,Queens,F,F001
174,Jay St-MetroTech,Brooklyn,A:F:N:R,A009:F011:N005:R005
223,Lexington Av/63 St,Manhattan,F:Q,F004:Q011
108,Middle Village-Metropolitan Av,Queens,M,M001
97,Myrtle Av,Brooklyn,J:M,J004:M003
112,Myrtle-Wyckoff Avs,Brooklyn,L:M,L003:M002
352,New Lots Av,Brooklyn,X4,4001
210,Norwood-205 St,Bronx,D,D012
195,Ozone Park-Lefferts Blvd,Queens,A,A004
360,Pelham Bay Park,Bronx,X6,6005
42,Prospect Park,Brooklyn,Q:S,Q003:S001
461,Queensboro Plaza,Queens,X7:N,7002:N011
192,Rockaway Blvd,Queens,A,A005
203,Rockaway Park-Beach 116 St,Queens,A,A002
330,South Ferry,Manhattan,X1,1001
279,Sutphin Blvd-Archer Av-JFK Airport,Queens,E:J,E002:J002
467,Times Sq-42 St,Manhattan,X1:X2:X3:X7:N:Q,1003:2006:3001:7005:N010:Q009
293,Van Cortlandt Park-242 St,Bronx,X1,1007
167,W 4 St-Wash Sq,Manhattan,A:D:E:F,A011:D005:E008:F008
57,W 8 St-NY Aquarium,Brooklyn,F:Q,F014:Q002
416,Wakefield-241 St,Bronx,X2,2011
23,Whitehall St-South Ferry,Manhattan,N:R,N006:R006
378,Woodlawn,Bronx,X4,4010
171,World Trade Center,Manhattan,E,E010
