Station ID,Stop Name,Borough,Routes
119,1 Av,M,L
156,103 St,M,B C
309,103 St,M,1
395,103 St,M,6
450,103 St-Corona Plaza,Q,7
82,104 St,Q,J Z
193,104 St,Q,A
394,110 St,M,6
81,111 St,Q,J
194,111 St,Q,A
449,111 St,Q,7
154,116 St,M,B C
393,116 St,M,6
440,116 St,M,2 3
307,116 St-Columbia University,M,1
80,121 St,Q,J Z
153,125 St,M,A B C D
306,125 St,M,1
392,125 St,M,4 5 6
439,125 St,M,2 3
152,135 St,M,B C
438,135 St,M,2 3
305,137 St-City College,M,1
391,138 St-Grand Concourse,Bx,4 5
166,14 St,M,A C E
229,14 St,M,F M
322,14 St,M,1 2 3
15,14 St-Union Sq,M,N Q R W
406,14 St-Union Sq,M,4 5 6
117,14 St-Union Sq.,M,L
151,145 St,M,A C
151,145 St,M,B D
304,145 St,M,1
437,145 St,M,3
390,149 St-Grand Concourse,Bx,4
435,149 St-Grand Concourse,Bx,2 5
241,15 St-Prospect Park,Bk,F G
150,155 St,M,C
220,155 St,M,B D
303,157 St,M,1
219,161 St-Yankee Stadium,Bx,B D
389,161 St-Yankee Stadium,Bx,4
149,163 St-Amsterdam Av,M,C
218,167 St,Bx,B D
388,167 St,Bx,4
148,168 St,M,A C
302,168 St-Washington Hts,M,1
255,169 St,Q,F
217,170 St,Bx,B D
387,170 St,Bx,4
428,174 St,Bx,2 5
216,174-175 Sts,Bx,B D
147,175 St,M,A
385,176 St,Bx,4
66,18 Av,Bk,D
74,18 Av,Bk,N
245,18 Av,Bk,F
321,18 St,M,1
146,181 St,M,A
301,181 St,M,1
214,182-183 Sts,Bx,B D
383,183 St,Bx,4
145,190 St,M,A
300,191 St,M,1
232,2 Av,M,F
67,20 Av,Bk,D
75,20 Av,Bk,N
298,207 St,M,1
282,21 St,Q,G
221,21 St-Queensbridge,Q,F
297,215 St,M,1
420,219 St,Bx,2 5
419,225 St,Bx,2 5
14,23 St,M,R W
165,23 St,M,C E
228,23 St,M,F M
320,23 St,M,1
405,23 St,M,6
295,231 St,Bx,1
418,233 St,Bx,2 5
294,238 St,Bx,1
69,25 Av,Bk,D
31,25 St,Bk,R
13,28 St,M,R W
319,28 St,M,1
404,28 St,M,6
118,3 Av,M,L
377,3 Av-138 St,Bx,6
434,3 Av-149 St,Bx,2 5
3,30 Av,Q,N W
403,33 St,M,6
460,33 St-Rawson St,Q,7
12,34 St-Herald Sq,M,N Q R W
227,34 St-Herald Sq,M,B D F M
471,34 St-Hudson Yards,M,7
164,34 St-Penn Station,M,A C E
318,34 St-Penn Station,M,1 2 3
5,36 Av,Q,N W
32,36 St,Bk,D N R
272,36 St,Q,M R
6,39 Av-Dutch Kills,Q,N W
29,4 Av-9 St,Bk,R
239,4 Av-9 St,Bk,F G
459,40 St-Lowery St,Q,7
226,42 St-Bryant Pk,M,B D F M
163,42 St-Port Authority Bus Terminal,M,A C E
33,45 St,Bk,R
270,46 St,Q,M R
458,46 St-Bliss St,Q,7
225,47-50 Sts-Rockefeller Ctr,M,B D F M
10,49 St,M,N R W
466,5 Av,M,7
276,5 Av/53 St,M,E M
8,5 Av/59 St,M,N W R
61,50 St,Bk,D
162,50 St,M,C E
316,50 St,M,1
401,51 St,M,6
457,52 St,Q,7
34,53 St,Bk,R
62,55 St,Bk,D
224,57 St,M,F
9,57 St-7 Av,M,N Q R W
35,59 St,Bk,N R
400,59 St,M,4 5 6
161,59 St-Columbus Circle,M,A B C D
315,59 St-Columbus Circle,M,1
116,6 Av,M,L
63,62 St,Bk,D
263,63 Dr-Rego Park,Q,M R
268,65 St,Q,M R
314,66 St-Lincoln Center,M,1
262,67 Av,Q,M R
399,68 St-Hunter College,M,6
455,69 St,Q,7
41,7 Av,Bk,B Q
240,7 Av,Bk,F G
277,7 Av,M,B D E
64,71 St,Bk,D
160,72 St,M,B C
313,72 St,M,1 2 3
477,72 St,M,Q
454,74 St-Broadway,Q,7
260,75 Av,Q,E F
85,75 St-Elderts Ln,Q,J Z
37,77 St,Bk,R
398,77 St,M,6
65,79 St,Bk,D
312,79 St,M,1
71,8 Av,Bk,N
115,8 Av,M,L
16,8 St-NYU,M,R W
190,80 St,Q,A
159,81 St-Museum of Natural History,M,B C
453,82 St-Jackson Hts,Q,7
84,85 St-Forest Pkwy,Q,J
38,86 St,Bk,R
79,86 St,Bk,N
158,86 St,M,B C
311,86 St,M,1
397,86 St,M,4 5 6
476,86 St,M,Q
191,88 St,Q,A
59,9 Av,Bk,D
452,90 St-Elmhurst Av,Q,7
157,96 St,M,B C
310,96 St,M,1 2 3
396,96 St,M,6
475,96 St,M,Q
91,Alabama Av,Bk,J
423,Allerton Av,Bx,2 5
515,Annadale,SI,SIR
196,Aqueduct Racetrack,Q,A
197,Aqueduct-N Conduit Av,Q,A
523,Arthur Kill,SI,SIR
407,Astor Pl,M,6
2,Astoria Blvd,Q,N W
1,Astoria-Ditmars Blvd,Q,N W
133,Atlantic Av,Bk,L
27,Atlantic Av-Barclays Ctr,Bk,D N R
40,Atlantic Av-Barclays Ctr,Bk,B Q
338,Atlantic Av-Barclays Ctr,Bk,2 3 4 5
48,Avenue H,Bk,B Q
246,Avenue I,Bk,F
49,Avenue J,Bk,B Q
50,Avenue M,Bk,B Q
248,Avenue N,Bk,F
249,Avenue P,Bk,F
52,Avenue U,Bk,B Q
78,Avenue U,Bk,N
251,Avenue U,Bk,F
252,Avenue X,Bk,F
70,Bay 50 St,Bk,D
68,Bay Pkwy,Bk,D
76,Bay Pkwy,Bk,N
247,Bay Pkwy,Bk,F
36,Bay Ridge Av,Bk,R
