stationID,stopName,borough,routes,nodes,cost
209,Far Rockaway-Mott Av,Queens,A,A001,
208,Beach 25 St,Queens,A,A002,1
207,Beach 36 St,Queens,A,A003,2
206,Beach 44 St,Queens,A,A004,2
205,Beach 60 St,Queens,A,A005,2
204,Beach 67 St,Queens,A,A006,1
203,Rockaway Park-Beach 116 St,Queens,A,A007,
202,Beach 105 St,Queens,A,A008,2
201,Beach 98 St,Queens,A,A009,2
200,Beach 90 St,Queens,A,A010,1
199,Broad Channel,Queens,A,A011,4
198,Howard Beach-JFK Airport,Queens,A,A012,7
197,Aqueduct-N Conduit Av,Queens,A,A013,2
196,Aqueduct Racetrack,Queens,A,A014,1
195,Ozone Park-Lefferts Blvd,Queens,A,A015,
194,111 St,Queens,A,A016,1
193,104 St,Queens,A,A017,1
192,Rockaway Blvd,Queens,A,A018,
191,88 St,Queens,A,A019,1
190,80 St,Queens,A,A020,2
189,Grant Av,Brooklyn,A,A021,1
188,Euclid Av,Brooklyn,A,A022,2
187,Shepherd Av,Brooklyn,A,A023,1
186,Van Siclen Av,Brooklyn,A,A024,2
185,Liberty Av,Brooklyn,A,A025,1
184,Broadway Junction,Brooklyn,A:J:L,A026:J015:L007,2
183,Rockaway Av,Brooklyn,A,A027,1
182,Ralph Av,Brooklyn,A,A028,2
181,Utica Av,Brooklyn,A,A029,2
180,Kingston-Throop Avs,Brooklyn,A,A030,1
179,Nostrand Av,Brooklyn,A,A031,2
178,Franklin Av,Brooklyn,A,A032,1
177,Clinton-Washington Avs,Brooklyn,A,A033,1
176,Lafayette Av,Brooklyn,A,A034,2
175,Hoyt-Schermerhorn Sts,Brooklyn,A,A035,1
174,Jay St-MetroTech,Brooklyn,A,A036,2
173,High St,Brooklyn,A,A037,2
172,Fulton St,Manhattan,A:J,A038:J029,3
170,Chambers St,Manhattan,A,A039,2
169,Canal St,Manhattan,A:E,A040:E031,2
168,Spring St,Manhattan,A:E,A041:E030,1
167,W 4 St-Wash Sq,Manhattan,A:E,A042:E029,2
166,14 St,Manhattan,A:E,A043:E028,2
165,23 St,Manhattan,A:E,A044:E027,2
164,34 St-Penn Station,Manhattan,A:E,A045:E026,2
163,42 St-Port Authority Bus Terminal,Manhattan,A:E,A046:E025,1
162,50 St,Manhattan,A:E,A047:E024,2
161,59 St-Columbus Circle,Manhattan,A,A048,2
160,72 St,Manhattan,A,A049,2
159,81 St-Museum of Natural History,Manhattan,A,A050,1
158,86 St,Manhattan,A,A051,2
157,96 St,Manhattan,A,A052,1
156,103 St,Manhattan,A,A053,2
155,Cathedral Pkwy,Manhattan,A,A054,1
154,116 St,Manhattan,A,A055,1
153,125 St,Manhattan,A,A056,2
152,135 St,Manhattan,A,A057,1
151,145 St,Manhattan,A,A058,2
150,155 St,Manhattan,A,A059,1
149,163 St-Amsterdam Av,Manhattan,A,A060,2
148,168 St,Manhattan,A,A061,3
147,175 St,Manhattan,A,A062,2
146,181 St,Manhattan,A,A063,1
145,190 St,Manhattan,A,A064,2
144,Dyckman St,Manhattan,A,A065,2
143,Inwood-207 St,Manhattan,A,A066,2
280,Jamaica-Van Wyck,Queens,E,E003,2
258,Briarwood,Queens,E,E004,2
259,Kew Gardens-Union Tpke,Queens,E,E005,1
260,75 Av,Queens,E,E006,2
261,Forest Hills-71 Av,Queens,E,E007,1
262,67 Av,Queens,E,E008,2
263,63 Dr-Rego Park,Queens,E,E009,2
264,Woodhaven Blvd,Queens,E,E010,1
265,Grand Av-Newtown,Queens,E,E011,2
266,Elmhurst Av,Queens,E,E012,1
267,Jackson Hts-Roosevelt Av,Queens,E,E013,2
268,65 St,Queens,E,E014,1
269,Northern Blvd,Queens,E,E015,2
270,46 St,Queens,E,E016,1
271,Steinway St,Queens,E,E017,2
272,36 St,Queens,E,E018,2
273,Queens Plaza,Queens,E,E019,2
274,Court Sq-23 St,Queens,E,E020,2
275,Lexington Av-53 St,Manhattan,E,E021,3
276,5 Av-53 St,Manhattan,E,E022,2
277,7 Av,Manhattan,E,E023,2
171,World Trade Center,Manhattan,E,E032,
278,Jamaica Center-Parsons-Archer,Queens,E:J,J001:E001,
279,Sutphin Blvd-Archer Av-JFK Airport,Queens,E:J,J002:E002,2
80,121 St,Queens,J,J003,4
81,111 St,Queens,J,J004,2
82,104 St,Queens,J,J005,2
83,Woodhaven Blvd,Queens,J,J006,1
84,85 St-Forest Pkwy,Queens,J,J007,2
85,75 St-Elderts Ln,Queens,J,J008,1
86,Cypress Hills,Brooklyn,J,J009,2
87,Crescent St,Brooklyn,J,J010,1
88,Norwood Av,Brooklyn,J,J011,2
89,Cleveland St,Brooklyn,J,J012,1
90,Van Siclen Av,Brooklyn,J,J013,2
91,Alabama Av,Brooklyn,J,J014,1
93,Chauncey St,Brooklyn,J,J016,3
94,Halsey St,Brooklyn,J,J017,1
95,Gates Av,Brooklyn,J,J018,2
96,Kosciuszko St,Brooklyn,J,J019,1
97,Myrtle Av,Brooklyn,J,J020,2
98,Flushing Av,Brooklyn,J,J021,1
99,Lorimer St,Brooklyn,J,J022,2
100,Hewes St,Brooklyn,J,J023,1
101,Marcy Av,Brooklyn,J,J024,1
102,Delancey St-Essex St,Manhattan,J,J025,7
103,Bowery,Manhattan,J,J026,2
104,Canal St,Manhattan,J,J027,1
105,Chambers St,Manhattan,J,J028,2
107,Broad St,Manhattan,J,J030,1
138,Canarsie-Rockaway Pkwy,Brooklyn,L,L001,
137,East 105 St,Brooklyn,L,L002,2
136,New Lots Av,Brooklyn,L,L003,2
135,Livonia Av,Brooklyn,L,L004,1
134,Sutter Av,Brooklyn,L,L005,2
133,Atlantic Av,Brooklyn,L,L006,1
131,Bushwick Av-Aberdeen St,Brooklyn,L,L008,1
130,Wilson Av,Brooklyn,L,L009,1
129,Halsey St,Queens,L,L010,2
128,Myrtle-Wyckoff Avs,Brooklyn,L,L011,3
127,DeKalb Av,Brooklyn,L,L012,1
126,Jefferson St,Brooklyn,L,L013,2
125,Morgan Av,Brooklyn,L,L014,2
124,Montrose Av,Brooklyn,L,L015,1
123,Grand St,Brooklyn,L,L016,1
122,Graham Av,Brooklyn,L,L017,2
121,Lorimer St,Brooklyn,L,L018,2
120,Bedford Av,Brooklyn,L,L019,1
119,1 Av,Manhattan,L,L020,4
118,3 Av,Manhattan,L,L021,1
117,14 St-Union Sq.,Manhattan,L,L022,4
116,6 Av,Manhattan,L,L023,2
115,8 Av,Manhattan,L,L024,2
